LOGGING STARTED AT: 02-07-2022 16:00:55

02-07-2022 16:01:27 :    It took 300ms to generate this chunk mesh
02-07-2022 16:01:28 :    It took 216ms to generate this chunk mesh
02-07-2022 16:01:28 :    It took 274ms to generate this chunk mesh
02-07-2022 16:01:28 :    It took 368ms to generate this chunk mesh
02-07-2022 16:01:29 :    It took 349ms to generate this chunk mesh
02-07-2022 16:01:29 :    It took 281ms to generate this chunk mesh
02-07-2022 16:01:30 :    It took 204ms to generate this chunk mesh
02-07-2022 16:01:30 :    It took 198ms to generate this chunk mesh
02-07-2022 16:01:30 :    It took 314ms to generate this chunk mesh
02-07-2022 16:01:31 :    It took 349ms to generate this chunk mesh
02-07-2022 16:01:31 :    It took 369ms to generate this chunk mesh
02-07-2022 16:01:32 :    It took 361ms to generate this chunk mesh
02-07-2022 16:01:32 :    It took 308ms to generate this chunk mesh
02-07-2022 16:01:33 :    It took 272ms to generate this chunk mesh
02-07-2022 16:01:33 :    It took 304ms to generate this chunk mesh
02-07-2022 16:01:34 :    It took 415ms to generate this chunk mesh
02-07-2022 16:01:34 :    It took 413ms to generate this chunk mesh
02-07-2022 16:01:35 :    It took 322ms to generate this chunk mesh
02-07-2022 16:01:35 :    It took 229ms to generate this chunk mesh
02-07-2022 16:01:35 :    It took 283ms to generate this chunk mesh
02-07-2022 16:01:36 :    It took 454ms to generate this chunk mesh
02-07-2022 16:01:37 :    It took 462ms to generate this chunk mesh
02-07-2022 16:01:37 :    It took 550ms to generate this chunk mesh
02-07-2022 16:01:38 :    It took 503ms to generate this chunk mesh
02-07-2022 16:01:39 :    It took 386ms to generate this chunk mesh
02-07-2022 16:01:39 :    It took 415ms to generate this chunk mesh
02-07-2022 16:01:40 :    It took 296ms to generate this chunk mesh
02-07-2022 16:01:40 :    It took 291ms to generate this chunk mesh
02-07-2022 16:01:41 :    It took 251ms to generate this chunk mesh
02-07-2022 16:01:41 :    It took 292ms to generate this chunk mesh
02-07-2022 16:01:42 :    It took 325ms to generate this chunk mesh
02-07-2022 16:01:42 :    Exited game loop, closing display and exiting game...
02-07-2022 16:01:42 :    Detached vertex shader from shader program...
02-07-2022 16:01:42 :    Detached fragment shader from shader program...
02-07-2022 16:01:42 :    Deleted vertex shader...
02-07-2022 16:01:42 :    Deleted fragment shader...
02-07-2022 16:01:42 :    Deleted shader program
02-07-2022 16:01:42 :    Detached vertex shader from shader program...
02-07-2022 16:01:42 :    Detached fragment shader from shader program...
02-07-2022 16:01:42 :    It took 502ms to generate this chunk mesh
02-07-2022 16:01:42 :    Deleted vertex shader...
02-07-2022 16:01:42 :    Deleted fragment shader...
02-07-2022 16:01:42 :    Deleted shader program
02-07-2022 16:01:43 :    Average FPS this game session: 73
02-07-2022 16:01:43 :    Average delta time (time taken to render) this game session: 0.033683177
02-07-2022 16:01:43 :    LOGGING FINISHED
